Date,Open,High,Low,Close,Adj Close,Volume
2015-08-25,8.851870,9.189920,8.745830,9.149130,8.366651,34010334
2015-08-26,9.019530,9.103820,8.846430,8.954280,8.188465,20007036
2015-08-27,9.144600,9.348520,9.094760,9.294140,8.499259,11615215
2015-08-28,9.271490,9.321330,9.149130,9.321330,8.524123,8578243
2015-08-31,9.248830,9.248830,9.056690,9.158200,8.374946,9357860
2015-09-01,9.072100,9.103820,8.917120,8.957900,8.191776,20264370
2015-09-02,8.955190,9.012280,8.767580,8.848240,8.091495,15415277
2015-09-03,8.961530,9.099290,8.803830,9.030410,8.258084,22719972
2015-09-04,8.891740,8.924370,8.542820,8.555510,7.823800,22868451
2015-09-07,8.622570,8.753080,8.622570,8.653390,7.913309,9654528
2015-09-08,8.736770,8.957900,8.733140,8.808360,8.055025,14529399
2015-09-09,8.972410,8.976940,8.747640,8.762140,8.012758,13484286
2015-09-10,8.494780,8.543720,8.070630,8.095100,7.402767,38457238
2015-09-11,8.085130,8.088760,7.742550,7.742550,7.080368,27519860
2015-09-14,7.748900,7.840430,7.589390,7.765210,7.101090,17339432
2015-09-15,7.703580,7.719890,6.761020,7.287590,6.664319,58343188
2015-09-16,7.375500,7.396340,6.779150,6.821750,6.238320,40341552
2015-09-17,6.845310,7.393620,6.719330,7.367340,6.737248,40185331
2015-09-18,7.495130,7.564920,6.995760,6.995760,6.397448,43183813
2015-09-21,7.016600,7.296650,7.016600,7.019320,6.418993,22130857
2015-09-22,7.065540,7.065540,6.689430,6.708460,6.134719,22492396
2015-09-23,6.703930,6.921440,6.703930,6.761930,6.183616,17118311
2015-09-24,6.748340,6.842590,6.544420,6.621450,6.055151,20678206
2015-09-25,6.710270,6.796370,6.592450,6.692150,6.119804,20359913
2015-09-28,6.690330,6.780960,6.462850,6.463760,5.910947,18251856
2015-09-29,6.431130,6.747430,6.413000,6.630520,6.063445,15977670
2015-09-30,6.775530,6.977630,6.711180,6.957690,6.362633,19754515
2015-10-01,7.029290,7.074610,6.740180,6.775530,6.196053,15767587
2015-10-02,6.933220,7.332000,6.915100,7.202390,6.586406,20517754
2015-10-05,7.409030,7.561290,7.322930,7.551320,6.905494,17208810
2015-10-06,7.581230,7.730770,7.387280,7.687270,7.029817,15648187
2015-10-07,7.746180,8.171230,7.709920,7.936500,7.257731,20458455
2015-10-08,7.914750,8.054320,7.690890,8.032570,7.345584,14822451
2015-10-09,8.133170,8.618950,8.105070,8.257330,7.551122,22511253
2015-10-12,9.081160,9.280550,8.531040,8.666080,7.924914,30387244
2015-10-13,8.536470,8.596290,8.123200,8.259140,7.552777,21555484
2015-10-14,8.193890,8.677860,8.016260,8.533750,7.803901,19670340
2015-10-15,8.620760,8.718640,8.293580,8.470310,7.745887,12488233
2015-10-16,8.491160,8.688730,8.456720,8.614420,7.877672,15344083
2015-10-19,8.591760,8.641600,8.423190,8.488440,7.762466,9554932
2015-10-20,8.497500,8.687830,8.467590,8.644320,7.905014,8025590
2015-10-21,8.667890,8.730420,8.527410,8.594480,7.859437,7662728
2015-10-22,8.583600,8.899000,8.537380,8.802930,8.050059,12546804
2015-10-23,8.895370,9.061220,8.796580,8.964250,8.197582,11016086
2015-10-26,8.995060,9.063040,8.902620,8.965160,8.198415,10453288
2015-10-27,8.954280,8.966060,8.604450,8.609880,7.873520,13359790
2015-10-28,8.625290,8.809270,8.521070,8.763050,8.013591,13259679
2015-10-29,8.773020,8.801110,8.497500,8.568190,7.835395,9719769
2015-10-30,8.607170,8.750360,8.501130,8.697800,7.953921,11717132
2015-11-02,8.637070,8.886310,8.610790,8.777550,8.026850,10442195
2015-11-03,8.782080,8.822870,8.559130,8.818330,8.064142,9723348
2015-11-04,8.836460,9.044910,8.792960,8.869090,8.110561,11586180
2015-11-05,8.895370,8.900810,8.595380,8.769390,8.019388,9408347
2015-11-06,8.802020,8.914400,8.752170,8.792960,8.040942,11445924
2015-11-09,8.774830,8.875430,8.556410,8.573630,7.840371,11573418
2015-11-10,8.554600,8.584510,8.231050,8.314430,7.603338,14896880
2015-11-11,8.247360,8.714110,8.229240,8.312620,7.601684,15619830
2015-11-12,8.315340,8.382400,7.963690,8.043440,7.355525,16341284
2015-11-13,8.018070,8.130450,7.840430,7.900250,7.224581,11633388
2015-11-16,7.817770,8.067010,7.812340,7.902970,7.227068,8869078
2015-11-17,7.936500,8.065200,7.876680,8.052510,7.363819,11100590
2015-11-18,8.008100,8.141330,7.978190,8.055230,7.366307,8699151
2015-11-19,8.156730,8.317150,8.148580,8.266400,7.559417,9260007
2015-11-20,8.258240,8.329840,8.156730,8.192980,7.492275,11151515
2015-11-23,8.187550,8.187550,7.921090,8.060660,7.371273,9866046
2015-11-24,8.009010,8.115950,7.920190,7.974570,7.292545,9780642
2015-11-25,7.963690,8.200240,7.903870,8.197520,7.496428,12328733
2015-11-26,8.175760,8.395090,8.152200,8.369710,7.653891,11408452
2015-11-27,8.356120,8.357030,8.128640,8.160360,7.462445,10165762
2015-11-30,8.177580,8.270930,8.052510,8.153110,7.455815,11355213
2015-12-01,8.173950,8.328020,8.010820,8.183020,7.483167,16349666
2015-12-02,8.247360,8.321680,8.107790,8.117760,7.423489,14846903
2015-12-03,8.161260,8.505660,8.092380,8.092380,7.400279,22329995
2015-12-04,8.067910,8.249180,7.913840,7.929250,7.251101,18417957
2015-12-07,7.966410,8.054320,7.917470,7.977280,7.295023,9484097
2015-12-08,7.975470,7.976380,7.635610,7.635610,6.982574,13224162
2015-12-09,7.659170,7.858560,7.496040,7.762490,7.098603,11239710
2015-12-10,7.720800,7.973660,7.675490,7.693610,7.035614,13160170
2015-12-11,7.680920,7.695420,7.323840,7.397250,6.764600,13465211
2015-12-14,7.418100,7.471570,7.087290,7.102700,6.495242,12286483
2015-12-15,7.205110,7.511440,7.200580,7.430780,6.795263,12984713
2015-12-16,7.476100,7.639230,7.318400,7.533200,6.888923,13445378
2015-12-17,7.669140,7.974570,7.604790,7.790590,7.124300,16731336
2015-12-18,7.738020,7.848590,7.593010,7.617480,6.965995,23765677
2015-12-21,7.582140,7.928340,7.576700,7.765210,7.101090,11464216
2015-12-22,7.824120,7.847680,7.624730,7.689990,7.032303,7176529
2015-12-23,7.770650,8.153110,7.770650,8.112320,7.418514,13659019
2015-12-25,8.112320,8.112320,8.112320,8.112320,7.418514,0
2015-12-28,8.156730,8.228330,7.976380,8.018070,7.332325,6314480
2015-12-29,8.048880,8.111420,7.989970,8.087850,7.396136,6746792
2015-12-30,8.052510,8.143140,7.998130,8.094200,7.401944,4868948
2016-01-04,8.094200,8.094200,7.577600,7.599360,6.949425,16640285
2016-01-05,7.694520,7.730770,7.535010,7.681830,7.024842,11185332
2016-01-06,7.666420,7.721710,7.533200,7.651020,6.996666,8545955
2016-01-07,7.413560,7.521410,7.252240,7.435310,6.799405,14399519
2016-01-08,7.469750,7.553130,7.293030,7.294840,6.670949,10606942
2016-01-11,7.262210,7.572170,7.259490,7.407220,6.773717,12021538
2016-01-12,7.612950,7.702670,7.438940,7.521410,6.878141,15180914
2016-01-13,7.689080,8.036190,7.661890,7.825930,7.156618,17108570
2016-01-14,7.774270,7.821400,7.541350,7.738930,7.077058,16379799
2016-01-15,7.703580,7.767020,7.362810,7.421720,6.786977,18437642
2016-01-18,7.430780,7.552230,7.346500,7.433500,6.797750,11783039
2016-01-19,7.619290,8.034380,7.584850,8.001750,7.317400,22342539
2016-01-20,7.790590,7.881220,7.540450,7.585760,6.936988,21553020
2016-01-21,7.597540,7.952810,7.477000,7.916560,7.239496,16691728
2016-01-22,8.042540,8.188450,7.913840,8.047980,7.359677,16488221
2016-01-25,8.096010,8.241020,7.978190,8.160360,7.462445,15195775
2016-01-26,8.035290,8.585410,8.002660,8.491160,7.764954,20570152
2016-01-27,8.548260,8.744020,8.508380,8.734050,7.987070,16170215
2016-01-28,8.695080,8.881780,8.625290,8.719550,7.973810,17900158
2016-01-29,8.868180,8.942500,8.479380,8.541910,7.811364,18805358
2016-02-01,8.558230,8.691450,8.449470,8.688730,7.945627,15227569
2016-02-02,8.634350,8.680580,8.257330,8.392370,7.674613,10773988
2016-02-03,8.373340,8.454910,8.110510,8.271830,7.564382,12575285
2016-02-04,8.434970,8.573630,8.241020,8.470310,7.745887,13517244
2016-02-05,8.447660,8.797490,8.346150,8.614420,7.877672,17511437
2016-02-08,8.643420,8.643420,8.170330,8.214740,7.512174,16688502
2016-02-09,8.219270,8.285430,7.856750,7.910220,7.233699,15572541
2016-02-10,7.995410,8.086950,7.574890,7.597540,6.947761,17286942
2016-02-11,7.431690,7.459790,7.089110,7.230490,6.612103,20755834
2016-02-12,7.379120,7.677300,7.303900,7.658270,7.003296,20344875
2016-02-15,7.885750,8.339810,7.864000,8.301740,7.591733,20273801
2016-02-16,8.328930,8.353400,7.907500,8.002660,7.318233,16442819
2016-02-17,8.030760,8.180300,7.676390,7.893000,7.217951,20368971
2016-02-18,7.941030,8.356120,7.922910,8.057950,7.368794,18448274
2016-02-19,8.103260,8.174860,7.603890,7.695420,7.037269,17366224
2016-02-22,7.704490,8.329840,7.703580,8.103260,7.410229,19284325
2016-02-23,8.115950,8.115950,7.702670,7.743460,7.081201,12964152
2016-02-24,7.753430,7.753430,7.420810,7.468850,6.830077,12329822
2016-02-25,7.588480,7.783340,7.553130,7.665520,7.009927,11167428
2016-02-26,7.748900,7.955530,7.640140,7.716270,7.056336,12211171
2016-02-29,7.687270,7.701770,7.457970,7.599360,6.949425,13923809
2016-03-01,7.612950,7.927440,7.575790,7.905690,7.229556,14830814
2016-03-02,7.924720,7.961880,7.641950,7.818680,7.149987,14718613
2016-03-03,7.821400,8.034380,7.744360,7.775180,7.110208,10108806
2016-03-04,7.839530,7.917470,7.733490,7.823210,7.154130,9453873
2016-03-07,7.717180,7.811430,7.586670,7.757960,7.094460,11041654
2016-03-08,7.695420,7.754330,7.477000,7.549510,6.903838,12700710
2016-03-09,7.612950,7.739830,7.250430,7.316590,6.690839,23506946
2016-03-10,7.343780,7.603890,7.205110,7.206020,6.589725,21420550
2016-03-11,7.325650,7.555850,7.269460,7.544980,6.899696,13465862
2016-03-14,7.572170,7.839530,7.554950,7.782430,7.116838,12478750
2016-03-15,7.749800,7.771550,7.587570,7.620200,6.968483,10111760
2016-03-16,7.640140,7.721710,7.597540,7.622010,6.970138,9886960
2016-03-17,7.683640,7.769740,7.542260,7.695420,7.037269,10628576
2016-03-18,7.703580,7.847680,7.631080,7.792400,7.125955,23434021
2016-03-21,7.716270,7.716270,7.454350,7.532290,6.888091,12574321
2016-03-22,7.477000,7.557670,7.384560,7.466130,6.827589,10324409
2016-03-23,7.522320,7.531380,7.386370,7.480630,6.840849,11492657
2016-03-24,7.409030,7.445280,7.313870,7.359190,6.729795,8214838
2016-03-29,7.359190,7.513260,7.255870,7.384560,6.752996,13428428
2016-03-30,7.444380,7.902060,7.431690,7.858560,7.186457,19407965
2016-03-31,7.834990,7.850400,7.602070,7.647390,6.993347,12265189
2016-04-01,7.562200,7.606610,7.417190,7.552230,6.906325,10275280
2016-04-04,7.572170,7.761580,7.529570,7.579420,6.931190,9112437
2016-04-05,7.468850,7.475190,7.307530,7.358280,6.728963,10991194
2016-04-06,7.395440,7.522320,7.273090,7.405410,6.772062,12111931
2016-04-07,7.412660,7.431690,7.292120,7.337430,6.709897,8347731
2016-04-08,7.359190,7.554950,7.341060,7.496040,6.854941,10368742
2016-04-11,7.512350,7.757050,7.452530,7.668230,7.012404,10280546
2016-04-12,7.680020,7.803270,7.610230,7.703580,7.044731,7329149
2016-04-13,7.803270,7.888470,7.735300,7.819590,7.150820,11630245
2016-04-14,7.817770,7.870340,7.737110,7.866720,7.193919,8730771
2016-04-15,7.864000,8.066100,7.802370,8.040730,7.353047,12919992
2016-04-18,7.952810,8.053410,7.831370,8.045260,7.357190,8280125
2016-04-19,8.108700,8.297210,8.065200,8.278180,7.570189,12496109
2016-04-20,8.211110,8.324400,8.179390,8.291770,7.582616,9980649
2016-04-21,8.316240,8.551880,8.211110,8.452190,7.729317,15409099
2016-04-22,8.415940,8.507470,8.333460,8.436780,7.715224,8452046
2016-04-25,8.454000,8.478470,8.190270,8.197520,7.496428,11413100
2016-04-26,8.301740,8.437690,8.163080,8.213830,7.511342,14621649
2016-04-27,8.211110,8.655200,8.086040,8.477560,7.752517,25439253
2016-04-28,8.461250,8.511100,8.219270,8.334370,7.621573,13870078
2016-04-29,8.233770,8.404150,8.158550,8.164890,7.466588,14879646
2016-05-02,8.206580,8.220170,8.040730,8.124110,7.429296,7117873
2016-05-03,8.094200,8.094200,7.786960,7.861280,7.188944,10893246
2016-05-04,7.853120,7.876680,7.612950,7.627450,6.975112,12063684
2016-05-05,7.699050,7.767930,7.596640,7.641050,6.987549,9164710
2016-05-06,7.620200,7.671860,7.476100,7.622010,6.970138,11127303
2016-05-09,7.668230,7.774270,7.573980,7.612950,6.961853,10217030
2016-05-10,7.698140,7.753430,7.612950,7.699960,7.041421,10059484
2016-05-11,7.622010,7.749800,7.070070,7.270370,6.648572,30933695
2016-05-12,7.261300,7.546790,7.236830,7.378220,6.747198,15943509
2016-05-13,7.341060,7.621110,7.333810,7.593010,6.943618,13036293
2016-05-17,7.593010,7.712640,7.474290,7.550420,6.904670,14489551
2016-05-18,7.516880,7.557670,7.433500,7.508730,6.866546,9796457
2016-05-19,7.493320,7.493320,7.366440,7.407220,6.773717,10188208
2016-05-20,7.490600,7.570350,7.461600,7.536820,6.892233,8836018
2016-05-23,7.568540,7.574890,7.422630,7.531380,6.887259,8081787
2016-05-24,7.488790,7.699050,7.467940,7.679110,7.022354,7891798
2016-05-25,7.760680,7.972750,7.721710,7.961880,7.280941,14933522
2016-05-26,7.975470,8.055230,7.949190,8.051600,7.362987,11281206
2016-05-27,8.037100,8.091480,8.008100,8.067910,7.377903,5880634
2016-05-30,8.094200,8.121390,8.052510,8.092380,7.400279,4504266
2016-05-31,8.099640,8.133170,7.957350,8.007190,7.322375,13272544
